,raw_variance,normalised_gradient_median,normalised_energy,24,25,26,27,20,21,22,23,normalised_RMS,1,0,3,2,5,4,raw_RMS,6,9,8,length_secs,raw_gradient_mean,7,10,normalised_variance,15,14,11,raw_gradient_median,13,12,normalised_power,normalised_gradient_variance,17,16,19,18,raw_power,raw_energy,normalised_gradient_mean,raw_gradient_variance,mean,class,energy_band_0,energy_band_1,energy_band_2,energy_band_3,energy_band_4,energy_band_5,energy_band_6,energy_band_7,energy_band_8,energy_band_9,energy_band_10,energy_band_11,energy_band_12,energy_band_13,energy_band_14,energy_band_15,energy_band_16,energy_band_17,energy_band_18,energy_band_19,energy_band_20,energy_band_21,energy_band_22,energy_band_23,energy_band_24,energy_band_25,energy_band_26,energy_band_27,energy_band_28,energy_band_29,energy_band_30,energy_band_31,energy_band_32,energy_band_33,energy_band_34,energy_band_35,energy_band_36,energy_band_37,energy_band_38,energy_band_39,energy_band_40,energy_band_41,energy_band_42,energy_band_43,energy_band_44,energy_band_45,energy_band_46,energy_band_47,energy_band_48,energy_band_49
0,8494038.18391,0.00525563103325,1774.89356836,98.9763648618,94.3469174244,84.0529886445,79.3947481695,106.056464779,106.075945547,106.205631795,106.257637898,0.208398440873,104.454853564,92.1961428664,129.609945954,125.512256918,122.561507222,124.428253462,29.9336228584,121.206109253,112.502911952,118.514184787,0.926712018141,191.490077811,115.529766837,108.822811451,0.0434299438193,108.929007712,111.545623242,112.359523808,73.5,114.593612061,116.238964549,0.0434299101584,0.000407610115771,110.047288119,109.792950886,100.469957668,102.242294838,896.02177743,36618618.0,0.0136925332722,79720.4781547,-1.38037095038,brachial,255.0,244.565,209.6675,209.22,208.55875,208.58125,208.74375,208.62625,209.01,208.5425,208.0875,208.24375,207.0425,203.1525,200.78875,199.2375,199.4325,196.48625,195.975,194.08,194.81375,195.905,191.28625,186.2225,178.06875,174.3625,188.28875,192.66875,182.88875,177.2625,185.05125,191.00125,193.7275,194.9425,191.98625,193.78375,193.365,194.605,197.705,196.36625,195.58125,197.5325,198.04125,198.31625,198.59875,197.9125,196.655,196.11125,196.2975,196.62
1,8294411.5335,0.00364837690319,1090.33669286,95.2907726756,88.3376927347,79.4333237003,77.062258292,104.037961152,99.8224488304,102.034975957,101.715544126,0.165469814396,104.473636148,86.6391519831,129.220622899,126.568895268,121.388150155,123.802384013,31.6398920403,119.033128819,110.780368197,116.586582401,0.902993197279,176.505838481,118.92469643,114.932959971,0.0273802572474,108.032727133,110.228252914,113.4797431,63.5,111.868747241,113.780595992,0.0273802594762,0.000239111578441,106.658881382,106.345556011,104.793361497,94.5558698501,1001.08276832,39865118.0,0.0101410995967,72435.0328811,-1.06117221636,brachial,255.0,246.8225,218.13,216.5875,216.9825,216.90625,217.70625,217.64625,217.385,216.9525,216.26875,217.77625,216.17625,213.35875,212.61,210.93125,210.98375,208.16875,206.19125,205.205,204.74875,203.9525,199.99875,196.40625,189.02625,186.1975,200.02,203.28,194.77625,188.035,195.97125,200.33375,203.59375,203.9675,203.67125,204.28875,204.34625,206.00125,208.86625,208.20625,207.46625,208.055,208.88125,208.3725,207.69,207.86,207.215,206.09375,206.51875,206.2275
2,9170837.26257,0.00726972944615,1979.98462129,90.8768272165,76.6711602916,77.0145654839,81.3143875949,103.347823951,103.505059903,98.5618948472,98.9265761562,0.226960624255,109.435783548,92.7959549624,129.781912519,126.470923755,121.471897975,123.462845447,23.280483335,117.56287067,113.11346992,113.582988855,0.871609977324,206.09645403,118.300785918,115.906774327,0.0515112412266,106.141515325,108.215579234,115.339525066,97.0,110.599159643,113.388671068,0.0515111249621,0.000428584521995,99.5577100536,109.491832351,105.586350357,101.216464355,541.980904313,20832662.0,0.0154460356764,76303.3235248,-1.44679744003,brachial,255.0,247.26125,218.9,218.345,219.205,218.6125,219.15875,219.33125,218.92125,218.94375,219.41,219.42,217.75875,214.46625,211.56,210.065,210.88625,208.55875,208.64125,206.83875,204.61875,204.515,200.155,196.2725,188.865,186.03,200.825,204.395,195.04,187.90625,195.4,201.99,204.59375,204.53375,204.455,206.48875,206.575,207.30375,208.5925,207.51125,207.3825,209.12125,209.86375,209.91375,208.5225,208.895,208.1875,207.90125,207.30375,206.2825
3,12798564.2397,0.0105570944906,2620.47982863,107.794475096,99.7572650171,110.090778615,112.209840482,111.753994396,110.792560888,113.723671406,114.304803111,0.220222084973,103.713816526,97.177631126,132.575627174,118.490144211,129.111584296,132.792193099,19.7189283983,125.75605146,120.885858295,124.615661584,1.22523809524,277.939759036,125.235401482,121.036466529,0.048497775776,116.966390487,117.112980805,119.915121772,171.5,112.770794568,114.346413707,0.0484977667098,0.000395568721369,116.484043257,118.385811332,111.967952357,115.489777167,388.836137175,21009983.0,0.0171092495559,104390.595459,0.138878093017,brachial,255.0,245.52125,212.87625,211.66,211.64,211.68,212.5075,211.9675,212.1275,211.54,211.86875,212.615,212.0575,208.595,205.60625,204.2075,204.80625,201.5625,202.745,199.8425,197.825,198.6475,193.52625,186.3625,177.75,174.1175,189.75625,194.46375,182.85875,176.2825,184.97875,193.1975,198.1125,198.5775,196.72125,199.4925,198.92,198.935,202.2875,201.48625,201.795,202.475,202.62625,201.34375,200.95375,201.1225,201.53,200.19875,199.17,199.12875
4,5679653.67993,0.00460690605356,1024.14445866,62.2078330432,61.2989459036,58.7854906324,55.1826381408,66.0356600116,63.8439016788,64.4637039488,64.4371547612,0.20521858212,119.161094347,95.8513707796,112.090883169,122.887164474,100.169689337,102.795867599,27.2931822534,100.549101844,89.6651984817,93.9865895745,0.551428571429,112.721317543,97.5359666079,90.7445190282,0.042114631315,74.5628410424,82.7194112334,80.9600943007,53.5,87.0980279383,88.6727015635,0.0421146664472,0.000187216631134,71.0007937741,66.739335539,68.0109940118,74.1860571492,744.917797516,18114911.0,0.00970647701219,25248.3660609,-2.86709433342,brachial,255.0,246.0975,214.26,213.99,214.505,214.365,213.0725,212.70625,213.5675,213.8975,214.62,213.91,214.81125,214.36,213.93,213.4975,213.45875,212.74375,212.55125,211.6425,208.81,208.86875,205.56875,197.0,178.82,169.7425,188.38625,195.9725,180.20125,173.4975,190.80125,204.5675,207.98375,206.6475,205.86875,207.585,206.8675,205.995,206.0375,206.70875,205.5975,204.52625,203.17375,204.04,204.58125,204.495,202.8325,202.51375,203.40125,202.3225
5,10583640.1597,0.00862453531599,2382.00715092,97.6606592084,88.9133000035,82.7886855641,74.7318067587,102.513239978,99.1648340764,102.611190453,101.56029972,0.241876853794,105.241709305,95.0567376426,131.100638907,128.112030642,124.602574802,124.573357378,22.9701743194,120.378595879,109.791954532,117.331211935,0.923242630385,217.666228663,116.090964371,111.905785544,0.0585046649973,105.913877953,109.00541941,113.893371947,116.0,114.625694634,116.151726709,0.0585044124013,0.000389926081162,108.691517483,107.530526756,95.0519348951,99.2910066077,527.628908265,21482411.0,0.0161833627258,70538.6028973,-0.0182488026526,brachial,255.0,242.64625,200.275,198.755,199.4425,199.73375,199.78875,199.06625,199.29875,198.35375,199.105,199.03875,198.14625,195.225,191.6775,192.06625,191.8425,189.48375,190.005,186.80625,186.7,186.49875,183.58125,178.09375,169.64625,166.02875,179.735,182.71625,174.1525,168.21875,176.0825,183.90125,186.215,187.4425,184.83,186.65,187.14375,186.67625,189.38125,188.60375,188.13625,188.4175,188.025,189.18,188.35,187.7525,187.605,187.40875,187.09,186.71
6,34426629.5457,0.0433092845487,1557.46000742,95.1123806742,89.6052046573,79.8037856935,78.2970087997,105.864590662,96.0089270172,89.4800842865,93.7985912394,0.251966018719,127.924315925,102.018117992,116.760387673,125.322081245,114.265608669,114.999806812,12.4616728571,114.197634831,121.672495049,116.953526949,0.556281179138,1271.05568237,113.701893204,127.660297785,0.0634899112524,117.42726889,118.897035846,129.160020014,1008.5,121.592236422,125.414079509,0.0634868745892,0.00209947237375,113.494068597,115.36083677,110.852242889,115.578143494,155.293290396,3809655.0,0.0545845436045,1138413.2727,-6.3087803685,brachial,255.0,245.08625,211.785,211.6225,212.10375,212.33,210.97125,208.845,207.1725,205.84,206.15625,205.96625,205.59875,205.69125,203.87,200.4525,200.29875,202.51125,206.74375,211.37875,212.015,211.1825,211.30625,211.8725,209.0275,207.37625,210.50125,211.0575,209.4125,210.2175,211.47125,211.81125,211.24125,211.26125,209.9875,209.78875,205.97625,198.70625,198.67625,203.56875,203.265,204.77375,206.74875,206.07875,204.26875,206.75125,206.91,207.17,206.90625,206.19625
7,26862167.726,0.0198986058302,1430.55755475,118.021448181,116.59964074,115.399318469,115.25593821,122.584992276,121.817818223,121.106884991,120.139615837,0.187683234263,111.748425956,93.4335025569,131.638353022,131.30016016,126.367563294,131.179822073,17.5562939176,123.322062434,118.671685831,117.952649107,0.920907029478,838.976829509,121.164142802,116.772242679,0.0352249967221,119.464119591,117.20512194,114.347122724,549.5,115.742912846,114.081233654,0.0352249964234,0.000990489685852,127.140071523,123.374376592,125.995706861,128.074959571,308.223456121,12517571.0,0.0303811996925,755335.771415,-0.671353294593,brachial,255.0,246.815,217.315,216.49125,216.51625,216.47375,216.4475,215.505,213.13,210.6925,210.1425,211.28125,211.4075,210.04625,209.0475,208.21375,206.38625,208.06875,212.31375,215.4875,216.0975,215.35125,216.39875,217.335,213.7225,213.52,215.6275,216.1575,215.525,214.6625,215.09625,214.9925,215.92625,215.55375,214.82125,214.405,210.6375,204.1875,206.00375,209.645,208.55625,209.5425,211.505,210.1275,210.11125,211.55,211.45875,212.0975,212.585,211.35625
8,27572771.4709,0.0170015155637,1732.72091713,120.458813601,116.574985208,116.046670731,113.252629059,126.998337701,123.209552922,118.755168181,120.545109672,0.204056200486,112.310888326,90.4256470501,134.161694007,128.821581885,125.855231949,130.464964441,17.3158859374,120.870463588,116.146845389,120.052715967,0.943605442177,776.17167712,120.798065027,113.461755725,0.0416389319592,116.850778625,114.960657714,115.070673302,437.5,114.775521946,111.873941384,0.0416389329568,0.00122284383224,122.561572316,119.88476348,128.233572353,127.355700744,299.839905799,12477238.0,0.0301625025112,809751.642144,-2.45704467354,brachial,255.0,246.765,217.5875,216.545,215.635,217.2925,216.6275,215.2075,212.45,210.67375,210.44625,211.78375,211.96,209.645,209.19125,206.445,204.67,208.81125,212.725,215.64125,216.9,215.8575,215.49625,216.235,213.72,212.67125,215.1275,216.1875,215.52,213.76125,215.3975,215.3225,216.29375,216.15375,215.345,214.82375,211.78125,204.6175,203.825,209.66375,207.755,209.2825,211.97,210.72375,208.3275,212.07875,212.6275,212.4175,212.48125,211.18125
9,19749800.8086,0.00612966924469,1352.98858679,103.935286798,103.428464378,98.4233395146,96.0803320303,107.630858587,109.830761569,107.409569204,109.420720452,0.182823567408,117.412438743,91.2549266618,133.99879733,131.094734861,123.564292054,130.953622393,33.8544183722,121.728464746,109.347873239,117.787351764,0.917891156463,268.731095136,117.529625402,108.621402147,0.0334244495985,99.855967056,97.167188188,103.800521856,149.0,101.147984355,99.3484389541,0.0334244567997,0.000183438983672,106.329350519,100.970523436,111.438516214,110.193330769,1146.12164332,46393858.0,0.0110552532144,108390.218285,-2.60171941006,brachial,255.0,243.6775,205.50625,204.36375,204.5025,203.5075,203.455,203.54625,202.86125,203.465,203.7925,203.61625,203.96625,203.1675,201.7625,202.04,202.00875,202.96,203.75125,203.325,202.32875,203.0175,202.45125,202.68125,200.2525,199.4575,202.6475,203.15125,201.94875,200.3675,202.1325,202.44375,202.04625,202.80125,202.32875,202.56,203.22625,202.7625,201.49625,200.98,201.33875,202.46125,202.5525,203.1975,202.3175,201.92875,202.055,202.2875,202.26875,201.23125
